YYYY,m,d,h,h'Es
1995,1,1,0,NaN
1995,1,1,1,NaN
1995,1,1,2,110
1995,1,1,3,110
1995,1,1,4,135
1995,1,1,5,120
1995,1,1,6,115
1995,1,1,7,115
1995,1,1,8,NaN
1995,1,1,9,NaN
1995,1,1,10,125
1995,1,1,11,110
1995,1,1,12,110
1995,1,1,13,110
1995,1,1,14,NaN
1995,1,1,15,NaN
1995,1,1,16,NaN
1995,1,1,17,NaN
1995,1,1,18,100
1995,1,1,19,NaN
1995,1,1,20,100
1995,1,1,21,NaN
1995,1,1,22,100
1995,1,1,23,100
1995,1,2,0,120
1995,1,2,1,NaN
1995,1,2,2,NaN
1995,1,2,3,NaN
1995,1,2,4,100
1995,1,2,5,105
1995,1,2,6,150
1995,1,2,7,100
1995,1,2,8,100
1995,1,2,9,100
1995,1,2,10,100
1995,1,2,11,NaN
1995,1,2,12,NaN
1995,1,2,13,NaN
1995,1,2,14,105
1995,1,2,15,115
1995,1,2,16,NaN
1995,1,2,17,NaN
1995,1,2,18,NaN
1995,1,2,19,100
1995,1,2,20,100
1995,1,2,21,100
1995,1,2,22,140
1995,1,2,23,105
1995,1,3,0,105
1995,1,3,1,185
1995,1,3,2,105
1995,1,3,3,NaN
1995,1,3,4,100
1995,1,3,5,NaN
1995,1,3,6,NaN
1995,1,3,7,150
1995,1,3,8,100
1995,1,3,9,NaN
1995,1,3,10,NaN
1995,1,3,11,110
1995,1,3,12,105
1995,1,3,13,100
1995,1,3,14,134
1995,1,3,15,NaN
1995,1,3,16,133
1995,1,3,17,NaN
1995,1,3,18,NaN
1995,1,3,19,100
1995,1,3,20,100
1995,1,3,21,NaN
1995,1,3,22,NaN
1995,1,3,23,110
1995,1,4,0,105
1995,1,4,1,100
1995,1,4,2,100
1995,1,4,3,100
1995,1,4,4,100
1995,1,4,5,100
1995,1,4,6,100
1995,1,4,7,NaN
1995,1,4,8,110
1995,1,4,9,105
1995,1,4,10,110
1995,1,4,11,105
1995,1,4,12,130
1995,1,4,13,115
1995,1,4,14,105
1995,1,4,15,NaN
1995,1,4,16,NaN
1995,1,4,17,NaN
1995,1,4,18,NaN
1995,1,4,19,100
1995,1,4,20,100
1995,1,4,21,100
1995,1,4,22,100
1995,1,4,23,NaN
1995,1,5,0,115
1995,1,5,1,110
1995,1,5,2,100
1995,1,5,3,100
1995,1,5,4,100
1995,1,5,5,100
1995,1,5,6,100
1995,1,5,7,100
1995,1,5,8,100
1995,1,5,9,100
1995,1,5,10,120
1995,1,5,11,105
1995,1,5,12,105
1995,1,5,13,105
1995,1,5,14,100
1995,1,5,15,100
1995,1,5,16,100
1995,1,5,17,100
1995,1,5,18,100
1995,1,5,19,100
1995,1,5,20,100
1995,1,5,21,110
1995,1,5,22,100
1995,1,5,23,100
1995,1,6,0,110
1995,1,6,1,NaN
1995,1,6,2,NaN
1995,1,6,3,NaN
1995,1,6,4,NaN
1995,1,6,5,NaN
1995,1,6,6,NaN
1995,1,6,7,100
1995,1,6,8,NaN
1995,1,6,9,105
1995,1,6,10,115
1995,1,6,11,NaN
1995,1,6,12,115
1995,1,6,13,NaN
1995,1,6,14,100
1995,1,6,15,100
1995,1,6,16,100
1995,1,6,17,100
1995,1,6,18,100
1995,1,6,19,100
1995,1,6,20,NaN
1995,1,6,21,100
1995,1,6,22,NaN
1995,1,6,23,105
1995,1,7,0,105
1995,1,7,1,105
1995,1,7,2,120
1995,1,7,3,105
1995,1,7,4,105
1995,1,7,5,100
1995,1,7,6,100
1995,1,7,7,115
1995,1,7,8,100
1995,1,7,9,100
1995,1,7,10,NaN
1995,1,7,11,105
1995,1,7,12,NaN
1995,1,7,13,NaN
1995,1,7,14,NaN
1995,1,7,15,110
1995,1,7,16,NaN
1995,1,7,17,NaN
1995,1,7,18,NaN
1995,1,7,19,NaN
1995,1,7,20,NaN
1995,1,7,21,NaN
1995,1,7,22,100
1995,1,7,23,130
1995,1,8,0,110
1995,1,8,1,110
1995,1,8,2,105
1995,1,8,3,100
1995,1,8,4,110
1995,1,8,5,105
1995,1,8,6,140
1995,1,8,7,150
1995,1,8,8,NaN
1995,1,8,9,105
1995,1,8,10,NaN
1995,1,8,11,100
1995,1,8,12,105
1995,1,8,13,110
1995,1,8,14,105
1995,1,8,15,115
1995,1,8,16,110
1995,1,8,17,110
1995,1,8,18,110
1995,1,8,19,110
1995,1,8,20,NaN
1995,1,8,21,NaN
